playerId,playerName,team,friday_avg,friday_obp,friday_slg,friday_ops,sunday_avg,sunday_obp,sunday_slg,sunday_ops
ID676116,Ryan Noda,Baltimore Orioles,0,0,0,0,1,1,1,2
ID641584,Jake Fraley,Atlanta Braves,0,0,0,0,0.75,0.75,0.75,1.5
ID642851,Austin Wynns,Cincinnati Reds,0.125,0.222,0.25,0.472,0.615,0.643,1.077,1.72
ID660644,Vidal Bruján,Atlanta Braves,0.2,0.2,0.2,0.4,0.6,0.714,0.6,1.314
ID672515,Gabriel Moreno,Arizona Diamondbacks,0.246,0.306,0.509,0.815,0.533,0.562,0.6,1.162
ID665052,Griffin Conine,Miami Marlins,0.273,0.273,0.273,0.546,0.5,0.625,1,1.625
ID669200,Mason McCoy,San Diego Padres,0,0,0,0,0.5,0.6,0.75,1.35
ID677595,Ronny Mauricio,New York Mets,0.2,0.317,0.229,0.546,0.5,0.548,0.714,1.262
ID668845,Aaron Schunk,Colorado Rockies,0.333,0.333,0.5,0.833,0.5,0.5,0.75,1.25
ID595751,Jorge Alfaro,Washington Nationals,0.25,0.25,0.25,0.5,0.5,0.5,0.75,1.25
ID668723,Ryan Vilade,St. Louis Cardinals,0,0,0,0,0.5,0.667,0.5,1.167
ID663993,Nathaniel Lowe,Boston Red Sox,0.25,0.4,0.5,0.9,0.5,0.556,0.562,1.118
ID670276,Cal Stevenson,Philadelphia Phillies,0.25,0.25,0.25,0.5,0.5,0.5,0.5,1
ID669369,Bryce Johnson,San Diego Padres,0.333,0.6,0.667,1.267,0.5,0.5,0.5,1
ID672279,Michael Siani,St. Louis Cardinals,0,0.2,0,0.2,0.5,0.5,0.5,1
ID683021,Michael Stefanic,Toronto Blue Jays,0.5,0.5,0.5,1,0.5,0.5,0.5,1
ID702358,Trey Lipscomb,Washington Nationals,0,0,0,0,0.5,0.5,0.5,1
ID640459,Brian Navarreto,Miami Marlins,1,1,3,4,0.5,0.333,0.5,0.833
ID666023,Freddy Fermin,San Diego Padres,0.182,0.182,0.182,0.364,0.478,0.52,0.522,1.042
ID608671,Travis Jankowski,Tampa Bay Rays,0,0,0,0,0.462,0.462,0.615,1.077
ID670097,Zack Short,Houston Astros,0.333,0.5,1.333,1.833,0.444,0.5,0.889,1.389
ID673490,Ha-Seong Kim,Atlanta Braves,0.091,0.154,0.364,0.518,0.444,0.538,0.778,1.316
ID682626,Francisco Alvarez,New York Mets,0.255,0.321,0.392,0.713,0.444,0.5,0.667,1.167
ID805904,Zach Cole,Houston Astros,0.375,0.375,0.75,1.125,0.429,0.5,0.857,1.357
ID676356,Jonny DeLuca,Tampa Bay Rays,0.4,0.4,0.4,0.8,0.429,0.429,0.429,0.858
ID664774,LaMonte Wade Jr.,Los Angeles Angels,0,0.231,0,0.231,0.417,0.533,0.667,1.2
ID663604,Brandon Lockridge,Milwaukee Brewers,0.333,0.375,0.4,0.775,0.417,0.429,0.667,1.096
