playerId,playerName,team,friday_airOuts,friday_atBats,friday_baseOnBalls,friday_catchersInterference,friday_caughtStealing,friday_doubles,friday_flyOuts,friday_gamesPlayed,friday_groundIntoDoublePlay,friday_groundIntoTriplePlay,friday_groundOuts,friday_hitByPitch,friday_hits,friday_homeRuns,friday_intentionalWalks,friday_leftOnBase,friday_lineOuts,friday_pickoffs,friday_plateAppearances,friday_popOuts,friday_rbi,friday_runs,friday_sacBunts,friday_sacFlies,friday_stolenBases,friday_strikeOuts,friday_totalBases,friday_triples,sunday_airOuts,sunday_atBats,sunday_baseOnBalls,sunday_catchersInterference,sunday_caughtStealing,sunday_doubles,sunday_flyOuts,sunday_gamesPlayed,sunday_groundIntoDoublePlay,sunday_groundIntoTriplePlay,sunday_groundOuts,sunday_hitByPitch,sunday_hits,sunday_homeRuns,sunday_intentionalWalks,sunday_leftOnBase,sunday_lineOuts,sunday_pickoffs,sunday_plateAppearances,sunday_popOuts,sunday_rbi,sunday_runs,sunday_sacBunts,sunday_sacFlies,sunday_stolenBases,sunday_strikeOuts,sunday_totalBases,sunday_triples
ID645444,Jose Herrera,Arizona Diamondbacks,6,29,6,0,0,1,4,10,0,0,8,0,6,0,0,10,2,0,37,0,3,5,2,0,0,11,7,0,17,51,3,0,0,3,8,18,0,0,19,0,10,1,0,18,4,0,60,5,7,6,5,1,0,11,16,0
ID647304,Josh Naylor,Arizona Diamondbacks,20,61,4,0,0,2,11,16,2,0,17,0,16,1,0,30,6,0,66,3,6,8,0,1,2,9,21,0,20,58,11,0,1,4,10,16,1,0,12,0,18,0,0,22,6,0,69,4,7,12,0,0,4,8,22,0
ID606466,Ketel Marte,Arizona Diamondbacks,21,74,19,0,0,6,13,21,2,0,18,1,23,6,1,27,4,0,94,4,12,16,0,0,2,12,47,0,21,61,7,0,0,3,8,18,1,0,16,1,14,2,0,22,5,0,69,8,7,10,0,0,0,10,23,0
ID672695,Geraldo Perdomo,Arizona Diamondbacks,35,96,16,0,1,5,16,26,1,0,23,2,32,4,0,29,11,0,116,8,19,16,1,1,5,8,51,1,29,95,14,0,1,5,16,26,2,0,33,3,22,1,1,36,5,1,115,8,10,13,2,1,8,14,32,1
ID553993,Eugenio Suárez,Arizona Diamondbacks,26,66,5,0,0,3,16,18,2,0,12,2,18,7,0,26,5,0,76,5,21,14,0,3,0,13,42,0,16,65,3,0,0,3,11,18,1,0,12,2,14,5,1,32,3,0,70,2,13,9,0,0,1,23,32,0
ID682998,Corbin Carroll,Arizona Diamondbacks,23,89,7,0,0,4,15,22,1,0,18,2,21,5,0,35,3,0,99,5,13,16,0,1,3,28,42,1,21,93,10,0,1,5,9,24,0,0,18,0,25,3,2,32,1,0,103,11,15,16,0,0,6,29,47,4
ID666971,Lourdes Gurriel Jr.,Arizona Diamondbacks,37,97,2,0,0,4,23,23,1,0,21,0,30,2,0,36,6,0,100,8,14,12,0,1,1,10,40,0,37,69,6,0,0,3,13,19,1,0,12,2,12,2,0,33,16,0,79,8,6,7,0,2,1,10,21,0
ID656976,Pavin Smith,Arizona Diamondbacks,6,29,4,1,0,3,3,11,0,0,2,0,9,0,0,11,2,0,34,1,5,4,0,0,0,12,12,0,7,39,2,0,0,3,4,14,0,0,6,0,10,0,0,13,2,0,41,1,2,2,0,0,0,16,13,0
ID677950,Alek Thomas,Arizona Diamondbacks,18,59,1,0,0,4,13,20,0,0,14,1,13,1,0,22,3,0,62,2,5,7,0,1,0,15,20,0,16,80,2,0,0,3,8,25,0,0,24,0,22,0,0,35,7,0,85,1,10,9,1,2,4,21,27,1
ID573009,Joe Mantiply,Arizona Diamondbacks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ID664983,Jake McCarthy,Arizona Diamondbacks,5,29,2,0,0,0,1,8,0,0,12,0,7,1,0,6,3,1,31,1,3,3,0,0,2,5,10,0,6,41,3,0,0,1,2,14,0,0,20,1,7,0,0,21,2,0,45,2,1,3,0,0,2,8,12,2
ID545341,Randal Grichuk,Arizona Diamondbacks,10,39,1,0,0,3,5,13,1,0,7,0,15,3,0,17,2,0,41,3,9,10,0,1,0,8,29,1,8,26,3,0,0,3,4,13,0,0,4,0,4,0,1,15,1,0,30,3,3,0,0,1,0,11,7,0
ID641658,Garrett Hampson,Arizona Diamondbacks,4,9,1,0,0,0,2,4,0,0,3,0,1,0,0,3,1,0,10,1,0,2,0,0,1,1,1,0,3,6,4,0,0,0,2,4,0,0,1,0,0,0,0,3,1,0,11,0,0,2,1,0,0,3,0,0
